excel_column,excel_header,source_group,primary_source,primary_field_expression,secondary_source,secondary_field_expression,column_selection_rule,notes
P,THƯỞNG YTCL CÔNG VIỆC,contract,hr.contract,ytcl_wage khi contract_type_id != 3 (chính thức),hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Cột P chỉ được khóa khi open contract không phải thử việc. Nếu không, payslip line vẫn có thể điền cột này. Nhãn khớp: THƯỞNG YTCL CÔNG VIỆC | cơ cấu lương chính thức - thưởng ytclcv Header leaf trùng với cột N; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào P."
Q,Thưởng chuyên cần,employee,hr.employee,"current_diligence_bonus, fallback diligence_bonus",,,Cột cố định,"Luôn được ghi từ _get_employee_template_values cho mọi employee đã export, nên payslip line không ghi đè."
R,PC trách nhiệm/kiêm nhiệm,employee,hr.employee,"(current_fixed_allowance, fallback fixed_allowance) + (current_concurrent_support, fallback concurrent_support)",,,Cột cố định,"Luôn được ghi từ _get_employee_template_values cho mọi employee đã export, nên payslip line không ghi đè."
S,Hỗ trợ tiền nhà/sinh hoạt,employee,hr.employee,"(current_housing_allowance, fallback housing_allowance) + (current_living_support, fallback living_support)",,,Cột cố định,"Luôn được ghi từ _get_employee_template_values cho mọi employee đã export, nên payslip line không ghi đè."
T,Tiền xăng xe,employee,hr.employee,"current_transportation_allowance, fallback transportation_allowance",,,Cột cố định,"Luôn được ghi từ _get_employee_template_values cho mọi employee đã export, nên payslip line không ghi đè."
U,Hỗ trợ ăn ca,employee,hr.employee,"current_meal_allowance, fallback meal_allowance",,,Cột cố định,"Luôn được ghi từ _get_employee_template_values cho mọi employee đã export, nên payslip line không ghi đè."
V,PC khác,employee,hr.employee,current_other_allowance,,,Cột cố định,"Luôn được ghi từ _get_employee_template_values cho mọi employee đã export, nên payslip line không ghi đè."
W,TỔNG THU NHẬP (BAO GỒM PHỤ CẤP),payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: TỔNG THU NHẬP (BAO GỒM PHỤ CẤP) | tổng thu nhập bao gồm phụ cấp
X,Công chuẩn/tháng,contract,hr.contract,agreed_working_days,hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nếu đã có open contract thì payslip line không ghi đè cột này. Nhãn khớp: Công chuẩn/tháng | công chuẩn
Y,Tổng công hưởng lương,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Tổng công hưởng lương
Z,Công làm việc thực tế (bao gồm công công tác/đào tạo),attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho công thực tế thử việc",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Model attendance được thử theo thứ tự trong code và dừng ở model đầu tiên có dữ liệu. Nếu không có record attendance cho cột này thì payslip line vẫn có thể điền. Nhãn khớp: Công làm việc thực tế (bao gồm công công tác/đào tạo) | tv_ công làm việc thực tế ( bao gồm công đào tạo, công tác) Header leaf trùng với cột AE; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AE, không map vào Z. Cần alias riêng để phân biệt."
AA,Nghỉ bù,attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho nghỉ bù thử việc",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Phân loại từ work_day_type/work_day_type_id. Nhãn khớp: Nghỉ bù | tv_nghỉ bù Header leaf trùng với cột AF; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AF, không map vào AA. Cần alias riêng để phân biệt."
AB,Công nghỉ lễ,attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho công nghỉ lễ thử việc",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Phân loại từ work_day_type/work_day_type_id. Nhãn khớp: Công nghỉ lễ | tv_ công nghỉ lễ Header leaf trùng với cột AG; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AG, không map vào AB. Cần alias riêng để phân biệt."
AC,Công ca đêm,attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho công ca đêm thử việc",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Phân loại từ work_day_type/work_day_type_id. Nhãn khớp: Công ca đêm | tv_ công ca đêm Header leaf trùng với cột AH; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AH, không map vào AC. Cần alias riêng để phân biệt."
AD,Công hỗ trợ DA,attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho công hỗ trợ DA/công tác thử việc",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Phân loại từ work_day_type/work_day_type_id. Nhãn khớp: Công hỗ trợ DA | tv_công hỗ trợ da khác Header leaf trùng với cột AI; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AI, không map vào AD. Cần alias riêng để phân biệt."
AE,Công làm việc thực tế (bao gồm công công tác/đào tạo),attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho công thực tế chính thức",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Phân loại từ work_day_type/work_day_type_id. Nhãn khớp: Công làm việc thực tế (bao gồm công công tác/đào tạo) | ct_công làm việc thực tế ( bao gồm công đào tạo, công tác) | công đào tạo (chính thức) Header leaf trùng với cột Z; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AE."
AF,Nghỉ bù,attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho nghỉ bù chính thức",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Phân loại từ work_day_type/work_day_type_id. Nhãn khớp: Nghỉ bù Header leaf trùng với cột AA; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AF.
AG,Công nghỉ lễ,attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho công nghỉ lễ chính thức",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Phân loại từ work_day_type/work_day_type_id. Nhãn khớp: Công nghỉ lễ Header leaf trùng với cột AB; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AG.
AH,Công ca đêm,attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho công ca đêm chính thức",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Phân loại từ work_day_type/work_day_type_id. Nhãn khớp: Công ca đêm | ct_công ca đêm chính thức Header leaf trùng với cột AC; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AH.
AI,Công hỗ trợ DA,attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho công hỗ trợ DA/công tác chính thức",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Phân loại từ work_day_type/work_day_type_id. Nhãn khớp: Công hỗ trợ DA | ct_công công tác Header leaf trùng với cột AD; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AI.
AJ,"Ngày nghỉ có hưởng lương (phép, hiếu hỉ)",attendance,hr.attendance | hr.attendance.daily | hr.daily.attendance | attendance,"paid_salary_work_days, fallback standard_work_days, fallback number_of_days cho ngày nghỉ hưởng lương",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhận diện bởi work_day_type/work_day_type_id chứa phép, hiếu, hỉ, paid hoặc ngày nghỉ có hưởng. Nhãn khớp: Ngày nghỉ có hưởng lương (phép, hiếu hỉ)"
AK,Ăn ca,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Ăn ca | công ăn ca
AL,1,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: 1 Header leaf trùng với cột AS; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AS, không map vào AL. Cần alias riêng để phân biệt."
AM,1.5,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: 1.5 Header leaf trùng với cột AT; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AT, không map vào AM. Cần alias riêng để phân biệt."
AN,2,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: 2 Header leaf trùng với cột AO, AU, AV; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AV, không map vào AN. Cần alias riêng để phân biệt."
AO,2,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: 2 Header leaf trùng với cột AN, AU, AV; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AV, không map vào AO. Cần alias riêng để phân biệt."
AP,2.7,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: 2.7 Header leaf trùng với cột AW; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AW, không map vào AP. Cần alias riêng để phân biệt."
AQ,3,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: 3 Header leaf trùng với cột AX; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AX, không map vào AQ. Cần alias riêng để phân biệt."
AR,3.9,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: 3.9 Header leaf trùng với cột AY; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AY, không map vào AR. Cần alias riêng để phân biệt."
AS,1,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: 1 | ot hệ số 100% Header leaf trùng với cột AL; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AS.
AT,1.5,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: 1.5 | ot hệ số 150% Header leaf trùng với cột AM; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AT.
AU,2,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: 2 | ot hệ số 200% Header leaf trùng với cột AN, AO, AV; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AV, không map vào AU. Cần alias riêng để phân biệt."
AV,2,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: 2 | ot hệ số 210% Header leaf trùng với cột AN, AO, AU; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AV."
AW,2.7,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: 2.7 | ot hệ số 270% Header leaf trùng với cột AP; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AW.
AX,3,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: 3 | ot hệ số 300% Header leaf trùng với cột AQ; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AX.
AY,3.9,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: 3.9 | ot hệ số 390% Header leaf trùng với cột AR; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào AY.
AZ,Tổng giờ OT,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Tổng giờ OT
BA,Lương cơ bản theo ngày công,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Lương cơ bản theo ngày công | basic salary | basic | basic wage | lương cơ bản | lương cơ bản theo ngày công | lương ngày nghỉ | lương đào tạo | lương làm tại nhà
BB,Thưởng YTCLCV theo ngày công,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Thưởng YTCLCV theo ngày công | thưởng (ytclcv) ý thức chất lượng công việc theo ngày công thực tế
BC,Lương ca đêm,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Lương ca đêm
BD,Lương làm thêm giờ,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Lương làm thêm giờ | tổng lương làm thêm giờ | tăng ca chịu thuế
BE,PC trách nhiệm,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: PC trách nhiệm
BF,Phụ cấp công tác,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Phụ cấp công tác
BG,Tiền nhà,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Tiền nhà | hỗ trợ tiền nhà
BH,Tiền xăng xe,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Tiền xăng xe Header leaf trùng với cột T; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào BH.
BI,Hỗ trợ ăn ca,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Hỗ trợ ăn ca | hỗ trợ ăn ca chịu thuế Header leaf trùng với cột U; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào BI.
BJ,Phụ cấp khác,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Phụ cấp khác
BK,Tổng các khoản phụ cấp,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Tổng các khoản phụ cấp
BL,Thưởng thành tích,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Thưởng thành tích
BM,Thưởng KPI,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Thưởng KPI
BN,Thưởng TN&Doanh số,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Thưởng TN&Doanh số
BO,Thưởng chuyên cần,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Thưởng chuyên cần Header leaf trùng với cột Q; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào BO.
BP,Thưởng dự án,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Thưởng dự án
BQ,LÃI THẾ CHẤP,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: LÃI THẾ CHẤP
BR,Hỗ trợ gửi xe,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Hỗ trợ gửi xe
BS,"Hỗ trợ, bổ sung khác",payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: Hỗ trợ, bổ sung khác"
BT,Thưởng sinh nhật,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Thưởng sinh nhật
BU,Thưởng Lễ Tết,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Thưởng Lễ Tết
BV,Truy thu/truy lĩnh chịu thuế,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Truy thu/truy lĩnh chịu thuế
BW,Truy thu/truy lĩnh không chịu thuế,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Truy thu/truy lĩnh không chịu thuế
